league_name,playoff_round,order_position,manager
Press Play-offs,1,1,nuttguy
Press Play-offs,1,2,Tobi
Press Play-offs,1,3,paul.markhauser
Press Play-offs,1,4,connor.fehr
Press Play-offs,1,5,connor.fehr
Press Play-offs,1,6,paul.markhauser
Press Play-offs,1,7,Tobi
Press Play-offs,1,8,nuttguy
Press Play-offs,1,9,nuttguy
Press Play-offs,1,10,Tobi
Press Play-offs,1,11,paul.markhauser
Press Play-offs,1,12,connor.fehr
Press Play-offs,1,13,connor.fehr
Press Play-offs,1,14,paul.markhauser
Press Play-offs,1,15,Tobi
Press Play-offs,1,16,nuttguy
Press Play-offs,1,17,nuttguy
Press Play-offs,1,18,Tobi
Press Play-offs,1,19,paul.markhauser
Press Play-offs,1,20,connor.fehr
Press Play-offs,1,21,connor.fehr
Press Play-offs,1,22,paul.markhauser
Press Play-offs,1,23,Tobi
Press Play-offs,1,24,nuttguy
Press Play-offs,1,25,nuttguy
Press Play-offs,1,26,Tobi
Press Play-offs,1,27,paul.markhauser
Press Play-offs,1,28,connor.fehr
Press Play-offs,1,29,connor.fehr
Press Play-offs,1,30,paul.markhauser
Press Play-offs,1,31,Tobi
Press Play-offs,1,32,nuttguy
Press Play-offs,1,33,nuttguy
Press Play-offs,1,34,Tobi
Press Play-offs,1,35,paul.markhauser
Press Play-offs,1,36,connor.fehr
Press Play-offs,1,37,connor.fehr
Press Play-offs,1,38,paul.markhauser
Press Play-offs,1,39,Tobi
Press Play-offs,1,40,nuttguy
Press Play-offs,1,41,nuttguy
Press Play-offs,1,42,Tobi
Press Play-offs,1,43,paul.markhauser
Press Play-offs,1,44,connor.fehr
Press Play-offs,2,1,paul.markhauser
Press Play-offs,2,2,Tobi
Press Play-offs,2,3,nuttguy
Press Play-offs,2,4,connor.fehr
Press Play-offs,2,5,connor.fehr
Press Play-offs,2,6,nuttguy
Press Play-offs,2,7,Tobi
Press Play-offs,2,8,paul.markhauser
Press Play-offs,2,9,paul.markhauser
Press Play-offs,2,10,Tobi
Press Play-offs,2,11,nuttguy
Press Play-offs,2,12,connor.fehr
Press Play-offs,2,13,connor.fehr
Press Play-offs,2,14,nuttguy
Press Play-offs,2,15,Tobi
Press Play-offs,2,16,paul.markhauser
Press Play-offs,2,17,paul.markhauser
Press Play-offs,2,18,Tobi
Press Play-offs,2,19,nuttguy
Press Play-offs,2,20,connor.fehr
Press Play-offs,2,21,connor.fehr
Press Play-offs,2,22,nuttguy
Press Play-offs,2,23,Tobi
Press Play-offs,2,24,paul.markhauser
Press Play-offs,2,25,paul.markhauser
Press Play-offs,2,26,Tobi
Press Play-offs,2,27,nuttguy
Press Play-offs,2,28,connor.fehr
Press Play-offs,2,29,connor.fehr
Press Play-offs,2,30,nuttguy
Press Play-offs,2,31,Tobi
Press Play-offs,2,32,paul.markhauser
Press Play-offs,2,33,paul.markhauser
Press Play-offs,2,34,Tobi
Press Play-offs,2,35,nuttguy
Press Play-offs,2,36,connor.fehr
