,Position ,Player ,Team,Points,,,Notes,Statistics
Ben,Forward 1,Kirill Kaprizov,Minnesota,,,,Goalie points - 2 ponts per win + 2 for shutout,
,Forward 2,Jason Robertson,Dallas,,,,,
,Forward 3,Cole Caufield,Montreal,,,,,
,Forward 4,Wyatt Johnston,Dallas,,,,,
,Forward 5,Porter Martone,Philly,,,,,Kyle
,Defense 1,Evan Bouchard,Edmonton,,,,,Ben
,Defense 2,Cale Makar,Colorado,,,,,Evi
,Defense 3,Darren Raddysh,Tampa Bay,,,,,Judah
,Goalie 1,Carolina Hurricanes,Carolina,,,,,
,IR - F,,,,,,,
,IR - D,,,,,,,
,Total,,,,,,,
Judah ,Forward 1,Nathan MacKinnon,Colorado,,,,,
,Forward 2,Leon Draisaitl,Edmonton,,,,,
,Forward 3,Matt Boldy,Minnesota,,,,,
,Forward 4,Adrian Kempe,Kings,,,Last Updated,,
,Forward 5,Jake Guentzel,Tampa Bay,,,,,
,Defense 1,Lane Hutson,Montreal,,,,,
,Defense 2,Brock Faber,Minnesota,,,Current Max,,
,Defense 3,Brent Burns,Colorado,,,,,
,Goalie 1,Colorado Avalanche,Colorado,,,,,
,IR - F,,,,,,,
,IR - D,",",,,,,,
,Total,,,,,Current Winner,,
Kyle ,Forward 1,Connor McDavid,Edmonton,,,,,
,Forward 2,David Pastrnak,Boston,,,,,
,Forward 3,Martin Necas,Colorado,,,,,
,Forward 4,Sebastian Aho,Carolina,,,,,
,Forward 5,Mitch Marner,Vegas,,,,,
,Defense 1,Miro Heiskanen,Dallas,,,,Statistics,
,Defense 2,Charlie McAvoy,Boston,,,,,
,Defense 3,Shayne Gostisbehere,Carolina,,,,,
,Goalie 1,Edmonton Oilers,Edmonton,,,,,
,IR - F,,,,,,,
,IR - D,,,,,,,
,Total,,,,,,Scoring,
Levi,Forward 1,Nikita Kucherov,Tampa Bay,,,,Points = goals + assists.,
,Forward 2,Mikko Rantanen,Dallas,,,,goalie is 2 points/win + 2 for shutouts,
,Forward 3,Nick Suzuki,Montreal,,,,,
,Forward 4,Sidney Crosby,Pittsburg,,,,,
,Forward 5,Jack Eichel,Vegas,,,,Teams Scored,
,Defense 1,Quinn Hughes,Minnesota,,,,,
,Defense 2,Rasmus Dahlin,Buffalo,,,,,
,Defense 3,Erik Karlsson,Pittsburg,,,,Round 1 Point Potential per Series,
,Goalie 1,Buffalo Sabers,Buffalo,,,,0,
,IR - F,,,,,,,
,IR - D,,,,,,,
,Total,,,,,,,
