,Position ,Player ,Team,Points for Round,Points when drafted,Current Total Points,,,Notes,Statistics,,
Ben,Forward 1,Jack Eichel,Vegas,,,,,,Goalie points - 2 ponts per win + 2 for shutout,,,
,Forward 2,Logan Stankoven,Carolina,,,,,,,,,
,Forward 3,Alex Tuch,Buffalo,,,,Dropped,,,,,
,Forward 4,Leo Carlsson,Anaheim,,,,,,Draft Order:,,,
,Forward 5,Troy Terry,Anaheim,,,,,,Judah,Ben,Levi,Kyle
,Defense 1,Devon Toews,Colorado,,,,,,,,,
,Defense 2,Brock Faber,Minnesota,,,,,,,,,
,Defense 3,Shea Theodore,Vegas,,,,,,,,,
,Goalie 1,Carolina Hurricanes,Carolina,,,,,,,,,
,Total,,,,,,,,,,,
Judah ,Forward 1,Nathan MacKinnon,Colorado,,,,,,,,,
,Forward 2,Kirill Kaprizov,Minnesota,,,,,,,,,
,Forward 3,Cole Caufield,Monteral,,,,,,,,,
,Forward 4,Mats Zuccarello,Minnesota,,,,,Last Updated,,,,
,Forward 5,Gabriel Landeskog,Colorado,,,,,5/12,,,,
,Defense 1,Lane Hutson,Monteral,,,,,,,,,
,Defense 2,Jackson LaCombe,Anaheim,,,,,Current Max,,,,
,Defense 3,Owen Power,Buffalo,,,,,0,,,,
,Goalie 1,Colorado Avalanche,Colorado,,,,,,,,,
,Total,,,,,,,Current Winner,,,,
Kyle ,Forward 1,Matt Boldy,Minnesota,,,,,#N/A,,,,
,Forward 2,Taylor Hall,Carolina,,,,,,,,,
,Forward 3,Artturi Lehkonen,Colorado,,,,,,,,,
,Forward 4,Sebastian Aho,Carolina,,,,,,,,,
,Forward 5,Jackson Blake,Carolina,,,,,,,,,
,Defense 1,Quinn Hughes,Minnesota,,,,,,Statistics,,,
,Defense 2,Bowen Byram,Buffalo,,,,,,,,,
,Defense 3,Noah Hanifin,Vegas,,,,,,,,,
,Goalie 1,Vegas Knights,Vegas,,,,,,,,,
,Total,,,,,,,,Scoring,,,
Levi,Forward 1,Martin Necas,Colorado,,,,,,Points = goals + assists.,,,
,Forward 2,Nick Suzuki,Monteral,,,,,,goalie is 2 points/win + 2 for shutouts,,,
,Forward 3,Mitch Marner,Vegas,,,,,,,,,
,Forward 4,Tage Thompson,Buffalo,,,,,,,,,
,Forward 5,Mark Stone,Vegas,,,,,,Teams Scored,,,
,Defense 1,Cale Makar,Colorado,,,,,,,,,
,Defense 2,Rasmus Dahlin,Buffalo,,,,Dropped,,,,,
,Defense 3,John Carlson,Anaheim,,,,,,Round 2 Point Potential per Series,,,
,Goalie 1,Buffalo Sabres,Buffalo,,,,,,0,,,
,Total,,,,,,,,,,,
