,Position ,Player ,Team,Points,,,Notes,Statistics,,,,,,
Ben,Forward 1,Nikita Kucherov,Lightning,4,,,Goalie points - 2 ponts per win + 2 for shutout,,,,,,,
,Forward 2,Kirill Kaprizov,Wild,9,,,,,,,,,,
,Forward 3,Robert Thomas,Blues,8,,,Eliminated Teams:,,,,,,,
,Forward 4,Mark Scheifele,Jets,6,,,Blues,Avalanche,Wild,Kings,Senators,Lightning,Canadiens,Devils
,Forward 5,Nick Suzuki,Canadiens,2,,,,,,,,,,
,Defense 1,Shea Theodore,Knights,4,,,,,,,,,,
,Defense 2,Shayne Gostisbehere,Hurricanes,4,,,,,,,,,,
,Defense 3,Thomas Harley,Stars,5,,,,,,,,,,
,Goalie 1,Panthers,Panthers,10,,,,,,,,,,
,IR - F,Brayden Schenn,Blues,3,,,,,,,,,,
,IR - D,Haydn Fleury,Jets,0,,,,,,,,,,
,Total,,,52,,,,,,,,,,
Judah ,Forward 1,Leon Draisaitl,Oilers,10,,,,,,,,,,
,Forward 2,Kyle Connor ,Jets,12,,,,,,,,,,
,Forward 3,Brandon Hagel,Lightning,0,,,,,,,,,,
,Forward 4,Dylan Strome,Capitals,9,,Last Updated,,,,,,,,
,Forward 5,Mark Stone,Knights,4,,5/4,,,,,,,,
,Defense 1,Lane Hutson,Canadiens,5,,,,,,,,,,
,Defense 2,John Carlson ,Capitals,1,,Current Max,,,,,,,,
,Defense 3,Colin Miller,Jets,1,,59,,,,,,,,
,Goalie 1,Jets,Jets,8,,,,,,,,,,
,IR - F,Aleksander Barkov,Panthers,5,,,,,,,,,,
,IR - D,Devon Toews,Avalanche,4,,,,,,,,,,
,Total,,,50,,Current Winner,,,,,,,,
Kyle ,Forward 1,Nathan MacKinnon,Avalanche,11,,Kyle ,,,,,,,,
,Forward 2,Mitch Marner,Leafs,8,,,,,,,,,,
,Forward 3,Jack Eichel,Knights,5,,,,,,,,,,
,Forward 4,William Nylander,Leafs,9,,,,,,,,,,
,Forward 5,Martin Nečas,Avalanche,5,,,,,,,,,,
,Defense 1,Evan Bouchard,Oilers,7,,,Statistics,,,,,,,
,Defense 2,Josh Morrissey,Jets,3,,,,,,,,,,
,Defense 3,Jakob Chychrun,Capitals,3,,,,,,,,,,
,Goalie 1,Oilers,Oilers,8,,,,,,,,,,
,IR - F,Matt Duchene,Stars,3,,,,,,,,,,
,IR - D,Morgan Rielly,Leafs,3,,,,,,,,,,
,Total,,,59,,,Scoring,,,,,,,
Levi,Forward 1,Connor McDavid,Oilers,11,,,Points = goals + assists.,,,,,,,
,Forward 2,Auston Matthews,Leafs,7,,,goalie is 2 points/win + 2 for shutouts,,,,,,,
,Forward 3,Matthew Tkachuk,Panthers,5,,,,,,,,,,
,Forward 4,Alex Ovechkin,Capitals,5,,,,,,,,,,
,Forward 5,Mikko Rantanen,Stars,12,,,Teams Scored,,,,,,,
,Defense 1,Cale Makar,Avalanche,5,,,,,,,,,,
,Defense 2,Victor Hedman,Lightning,3,,,,,,,,,,
,Defense 3,Luke Hughes,Devils,0,Not playing,,Round 1 Point Potential per Series,,,,,,,
,Goalie 1,Capitals,Capitals,8,,,54.25,,,,,,,
,IR - F,Brayden Point,Lightning,2,,,,,,,,,,
,IR - D,Jake Sanderson,Senators,3,Activated,,,,,,,,,
,Total,,,59,,,,,,,,,,
