,Position ,Player ,Team,Points for Round,Points when drafted,Current Total Points,,,,,,
Ben,Forward 1,Leon Draisaitl,Oilers,17,16,33,,,Notes,Statistics,,
,Forward 2,Eetu Luostarinen,Panthers,7,12,19,,,Goalie points - 2 ponts per win + 2 for shutout,,,
,Forward 3,Sam Reinhart,Panthers,12,11,23,,,,,,
,Forward 4,Aleksander Barkov,Panthers,12,10,22,,,,,,
,Forward 5,Evander Kane,Oilers,5,7,12,,,Draft Order:,,,
,Defense 1,Dmitry Kulikov,Panthers,1,4,5,,,Judah,Ben,Levi,Kyle
,Defense 2,John Klingberg,Oilers,1,3,4,,,,,,
,Defense 3,Jaccob Slavin,Hurricanes,0,4,4,,,,,,
,Goalie 1,Oilers,Oilers,14,0,14,,,,,,
,IR - F,Carter Verhaeghe,Panthers,15,8,23,,,,,,
,IR - D,Sean Walker,Hurricanes,0,3,3,,,,,,
,Total,,,160,,,,,,,,
Judah ,Forward 1,Connor McDavid,Oilers,16,17,33,,,,,,
,Forward 2,Sebastian Aho,Hurricanes,5,10,15,,,,,,
,Forward 3,Ryan Nugent-Hopkins,Oilers,11,9,20,,,,,,
,Forward 4,Zach Hyman,Oilers,3,8,11,,,,,,
,Forward 5,Corey Perry,Oilers,7,7,14,,Last Updated,,,,
,Defense 1,Shayne Gostisbehere,Hurricanes,2,7,9,,5/25,,,,
,Defense 2,Darnell Nurse,Oilers,4,4,8,,,,,,
,Defense 3,Brent Burns,Hurricanes,2,3,5,,Current Max,,,,
,Goalie 1,Hurricanes,Hurricanes,4,0,4,,163,,,,
,IR - F,Connor Brown,Oilers,2,7,9,,,,,,
,IR - D,Brett Kulak,Oilers,3,2,5,,,,,,
,Total,,,135,,,,,,,,
Kyle ,Forward 1,Brad Marchand,Panthers,8,12,20,,Current Winner,,,,
,Forward 2,Roope Hintz,Stars,2,10,12,,Levi,,,,
,Forward 3,Seth Jarvis,Hurricanes,6,10,16,,,,,,
,Forward 4,Anton Lundell,Panthers,8,10,18,,,,,,
,Forward 5,Andrei Svechnikov,Hurricanes,3,9,12,,,,,,
,Defense 1,Evan Bouchard,Oilers,11,12,23,,,,,,
,Defense 2,Nate Schmidt,Panthers,5,7,12,,,Statistics,,,
,Defense 3,Seth Jones,Panthers,3,6,9,,,,,,
,Goalie 1,Stars,Stars,2,0,2,,,,,,
,IR - F,Wyatt Johnston,Stars,2,8,10,,,,,,
,IR - D,Dmitry Orlov,Hurricanes,0,4,4,,,,,,
,Total,,,148,,,,,,,,
Levi,Forward 1,Mikko Rantanen,Stars,3,19,22,,,Scoring,,,
,Forward 2,Matthew Tkachuk,Panthers,14,9,23,,,Points = goals + assists.,,,
,Forward 3,Sam Bennett,Panthers,13,9,22,,,goalie is 2 points/win + 2 for shutouts,,,
,Forward 4,Jason Robertson,Stars,5,1,6,,,,,,
,Forward 5,Matt Duchene,Stars,1,5,6,,,,,,
,Defense 1,Thomas Harley,Stars,3,11,14,,,Teams Scored,,,
,Defense 2,Aaron Ekblad,Panthers,7,6,13,,,,,,
,Defense 3,Miro Heiskanen,Stars,2,2,4,,,,,,
,Goalie 1,Panthers,Panthers,18,0,18,,,Round 3+4 Point Potential per Series,,,
,IR - F,Mikael Granlund,Stars,3,7,10,,,59.25,,,
,IR - D,Jake Walman,Oilers,8,2,10,,,,,,
,Total,,,163,,,,,,,,
