,Position ,Player ,Team,Points for Round,Points when drafted,Current Total Points,,,Notes
Ben,Forward 1,Nathan MacKinnon,Avalanche,5,9,14,,,Goalie points - 2 ponts per win + 2 for shutout
,Forward 2,Brad Marchand,Bruins ,2,8,10,,,
,Forward 3,Carter Verhaeghe,Panthers,2,9,11,,,
,Forward 4,Elias Petterson,Canucks,3,3,6,,,
,Forward 5,Seth Jarvis,Hurricanes ,2,7,9,,,
,Defense 1,Brady Skijei,Hurricanes ,4,5,9,,,
,Defense 2,Josh Manson,Avalanche,2,5,7,,,
,Defense 3,Charlie McAvoy,Bruins ,2,4,6,,Order,
,Goalie 1,Panthers Goalie (Sergei Bobrovsky),Panthers,8,0,8,,Ben,
,Total across Rounds,,,66,,,,Levi,
Judah ,Forward 1,Leon Draisaitl,Oilers,14,10,24,,Judah,
,Forward 2,JT Miller ,Canucks,6,6,12,,Kyle,
,Forward 3,Matthew Tkachuk,Panthers,5,9,14,,,
,Forward 4,Chris Kreider,Rangers,5,5,10,,Last Updated,
,Forward 5,David Pastrank,Bruins,3,5,8,,5/21,
,Defense 1,Quinn Hughes,Canucks,5,5,10,,,
,Defense 2,Nikita Zadorov,Canucks,5,3,8,,Current Max,
,Defense 3,Devon Toews,Avalanche,1,5,6,,108,
,Goalie 1,Rangers (Igor Shesterkin),Rangers,8,0,8,,,
,Total across Rounds,,,104,,,,Current Winner,
Kyle ,Forward 1,Artturi Lehkonen,Avalanche,3,8,11,,Levi ,
,Forward 2,Mika Zibanejad,Rangers,5,9,14,,,
,Forward 3,Mikko Rantanen,Avalanche,5,9,14,,,
,Forward 4,Zach Hyman,Oilers,5,8,13,,,
,Forward 5,Vincent Trocheck,Rangers,7,7,14,,,
,Defense 1,Evan Bouchard,Oilers,11,9,20,,,Statistics
,Defense 2,Hampus Lindholm,Bruins,0,4,4,,,
,Defense 3,Gustav Forsling,Panthers,4,3,7,,,
,Goalie 1,Oilers Goalie,Oilers,8,0,8,,,
,Total across Rounds,,,101,,,,,Scoring
Levi ,Forward 1,Connor McDavid,Oilers,9,12,21,,,Points = goals + assists.
,Forward 2,Ryan Nugent-Hopkins,Oilers,10,6,16,,,goalie is 2 points/win + 2 for shutouts
,Forward 3,Artemi Panarin,Rangers,8,3,11,,,
,Forward 4,Aleksander Barkov,Panthers,8,5,13,,,
,Forward 5,Brock Boeser,Canucks,6,6,12,,,Teams Scored
,Defense 1,Cale Makar,Avalanche,6,9,15,,,
,Defense 2,Adam Fox,Rangers,2,2,4,,,
,Defense 3,Miro Heiskanen,Stars,8,5,13,,,Round 2 Point Potential per Series
,Goalie 1,Avalanche Goalie,Avalanche,4,0,4,,,47.75
,Total across Rounds,,,108,,,,,
