,Position ,Player ,Team,Points for Round,Points when drafted,Current Total Points,,,Notes
Ben,Forward 1,Sam Reinhart,Panthers,7,9,16,,,Goalie points - 2 ponts per win + 2 for shutout
,Forward 2,Anton Lundell,Panthers,8,9,17,,,
,Forward 3,Carter Verhaeghe,Panthers,10,11,21,,,
,Forward 4,Vladimir Tarasenko,Panthers,4,5,9,,,
,Forward 5,Sam Bennett,Panthers,12,4,16,,,
,Defense 1,Dmitry Kulikov,Panthers,5,0,2,(+3 because of Jacob Trouba for Round 3),,
,Defense 2,Aaraon Ekblad,Panthers,2,4,6,,,
,Defense 3,Niko Mikkola,Panthers,2,2,4,,Order,
,Goalie 1,Panthers Goalie (Sergei Bobrovsky),Panthers,20,0,20,,Ben,
,Total across Rounds,,,136,,,,Kyle,
Judah ,Forward 1,Connor McDavid,Oilers,21,21,42,,Judah,
,Forward 2,Wyatt Johnston,Stars,5,11,16,,Levi,
,Forward 3,Matthew Tkachuk,Panthers,8,14,22,,,
,Forward 4,Chris Kreider,Rangers,2,10,12,,Last Updated,
,Forward 5,Jamie Benn,Stars,7,8,15,,5/31,
,Defense 1,Oliver Ekman-Larsson,Panthers,2,4,6,,,
,Defense 2,K'Andre Miller,Rangers,1,3,4,,Current Max,
,Defense 3,Cody Ceci,Oilers,2,3,5,,172,
,Goalie 1,Rangers Goalie (Igor Shesterkin),Rangers,4,0,4,,,
,Total across Rounds,,,156,,,,Current Winner,
Kyle ,Forward 1,Jason Robertson,Stars,4,12,16,,Levi ,
,Forward 2,Tyler Seguin,Stars,5,8,13,,,
,Forward 3,Roope Hintz,Stars,2,6,8,,,
,Forward 4,Ryan Nugent-Hopkins,Oilers,6,16,22,,,
,Forward 5,Evan Rodrigues,Panthers,9,6,15,,,
,Defense 1,Ryan Suter,Stars,1,3,4,,,Statistics
,Defense 2,Brandon Mountour,Panthers,3,8,11,,,
,Defense 3,Gustav Forsling,Panthers,6,7,13,,,
,Goalie 1,Stars Goalie (Jake Oettinger),Stars,4,0,4,,,
,Total across Rounds,,,141,,,,,Scoring
Levi ,Forward 1,McDavid,Oilers,7,24,31,,,Points = goals + assists.
,Forward 2,Zach Hyman,Oilers,9,13,22,,,goalie is 2 points/win + 2 for shutouts
,Forward 3,Artemi Panarin,Rangers,4,11,15,,,
,Forward 4,Aleksander Barkov,Panthers,9,13,22,,,
,Forward 5,Mika Zibanejad,Rangers,2,14,16,,,Teams Scored
,Defense 1,Makar,Oilers,12,20,32,,,
,Defense 2,Adam Fox,Rangers,4,4,8,,,
,Defense 3,Miro Heiskanen,Stars,3,13,16,,,Round 3 Point Potential per Series
,Goalie 1,Oilers Goalie (Stuart Skinner),Oilers,14,0,14,,,113
,Total across Rounds,,,172,,,,,
