game_id,date,season,team_name,is_home,won,goals_for,goals_against,spread,over_under,favorite_moneyline
401802844,2025-12-13 01:00:00+00:00,2026,St. Louis Blues,1,1,3.0,2.0,1.5,5.5,-115.0
401802844,2025-12-13 01:00:00+00:00,2026,Chicago Blackhawks,0,0,2.0,3.0,1.5,5.5,-115.0
401802845,2025-12-13 02:00:00+00:00,2026,Utah Mammoth,1,1,5.0,3.0,-1.5,5.5,-192.0
401802845,2025-12-13 02:00:00+00:00,2026,Seattle Kraken,0,0,3.0,5.0,-1.5,5.5,-192.0
401802846,2025-12-13 17:30:00+00:00,2026,New Jersey Devils,1,1,4.0,1.0,-1.5,6.5,-110.0
401802846,2025-12-13 17:30:00+00:00,2026,Anaheim Ducks,0,0,1.0,4.0,-1.5,6.5,-110.0
401802847,2025-12-13 19:00:00+00:00,2026,Minnesota Wild,1,1,3.0,2.0,-1.5,5.5,-120.0
401802847,2025-12-13 19:00:00+00:00,2026,Ottawa Senators,0,0,2.0,3.0,-1.5,5.5,-120.0
401802848,2025-12-13 20:00:00+00:00,2026,Pittsburgh Penguins,1,0,5.0,6.0,-1.5,6.5,-180.0
401802848,2025-12-13 20:00:00+00:00,2026,San Jose Sharks,0,1,6.0,5.0,-1.5,6.5,-180.0
401802849,2025-12-13 20:30:00+00:00,2026,New York Islanders,1,1,3.0,2.0,1.5,5.5,-130.0
401802849,2025-12-13 20:30:00+00:00,2026,Tampa Bay Lightning,0,0,2.0,3.0,1.5,5.5,-130.0
401802850,2025-12-14 00:00:00+00:00,2026,Toronto Maple Leafs,1,0,3.0,6.0,1.5,6.5,-130.0
401802850,2025-12-14 00:00:00+00:00,2026,Edmonton Oilers,0,1,6.0,3.0,1.5,6.5,-130.0
401802851,2025-12-14 00:00:00+00:00,2026,New York Rangers,1,1,5.0,4.0,-1.5,5.5,-135.0
401802851,2025-12-14 00:00:00+00:00,2026,Montreal Canadiens,0,0,4.0,5.0,-1.5,5.5,-135.0
401802852,2025-12-14 00:00:00+00:00,2026,Philadelphia Flyers,1,0,3.0,4.0,1.5,5.5,-180.0
401802852,2025-12-14 00:00:00+00:00,2026,Carolina Hurricanes,0,1,4.0,3.0,1.5,5.5,-180.0
401802853,2025-12-14 00:00:00+00:00,2026,Columbus Blue Jackets,1,0,2.0,3.0,1.5,6.5,-142.0
401802853,2025-12-14 00:00:00+00:00,2026,Vegas Golden Knights,0,1,3.0,2.0,1.5,6.5,-142.0
401802854,2025-12-14 00:00:00+00:00,2026,Winnipeg Jets,1,1,5.0,1.0,1.5,5.5,-120.0
401802854,2025-12-14 00:00:00+00:00,2026,Washington Capitals,0,0,1.0,5.0,1.5,5.5,-120.0
401802855,2025-12-14 01:00:00+00:00,2026,Chicago Blackhawks,1,0,0.0,4.0,1.5,6.5,-192.0
401802855,2025-12-14 01:00:00+00:00,2026,Detroit Red Wings,0,1,4.0,0.0,1.5,6.5,-192.0
401802856,2025-12-14 01:00:00+00:00,2026,Dallas Stars,1,0,0.0,4.0,-1.5,5.5,-142.0
401802856,2025-12-14 01:00:00+00:00,2026,Florida Panthers,0,1,4.0,0.0,-1.5,5.5,-142.0
401802857,2025-12-14 02:00:00+00:00,2026,Colorado Avalanche,1,1,4.0,2.0,-1.5,6.5,-375.0
